dip_direction,dip,rake,magnitude,easting,northing,depth_m
250,20,-170.0,1.48,620830.6513978324,4123771.8663713057,-4370.0
190,50,40.0,2.7,620028.2792064437,4121984.850491827,-6410.0
250,85,150.0,3.5,630882.4636012239,4109625.507044626,-7210.0
160,90,-10.0,3.5,630882.4636012239,4109625.507044626,-7210.0
230,20,180.0,1.52,620522.0118644597,4124673.678242403,-4540.0
65,85,-120.0,1.52,620522.0118644597,4124673.678242403,-4540.0
160,70,20.0,2.55,631109.1629454301,4109333.1026254175,-6510.0
200,65,50.0,2.27,618777.1289136261,4128884.1083765808,-7500.0
245,85,150.0,3.0,631142.2279932804,4109111.671937117,-7110.0
135,65,-40.0,1.44,619597.5130173394,4126269.5008887937,-7540.0
135,15,40.0,1.44,619597.5130173394,4126269.5008887937,-7540.0
165,70,40.0,2.05,631086.7344132263,4108870.369001862,-5970.0
330,85,50.0,2.14,617372.4797103396,4128956.78691171,-5130.0
320,70,-40.0,3.4,620000.7204032033,4125979.3427416687,-9270.0
285,75,-130.0,1.61,625364.7768615907,4123098.5600768467,-3000.0
150,85,-50.0,1.89,626022.5936954026,4115710.3149521053,-2590.0
140,60,-40.0,1.86,619051.8941610227,4127223.468728039,-7720.0
135,80,-50.0,1.71,623717.0571903527,4119523.0572619205,-3680.0
155,50,-150.0,1.84,628099.4924161992,4111487.7677760394,-190.0
220,40,60.0,1.81,628484.6576676656,4111475.136805916,-1920.0
60,90,-120.0,2.98,627295.3350513127,4107869.0433764937,-2510.0
150,70,0.0,2.5,619897.5668203715,4124923.6593310894,-3970.0
240,75,140.0,2.25,619153.2171707554,4127372.8672405323,-8550.0
140,75,-50.0,1.56,619279.0454254271,4126838.3054325706,-8270.0
150,15,60.0,1.56,619279.0454254271,4126838.3054325706,-8270.0
195,60,40.0,1.98,620214.6518015864,4122394.4023007634,-6470.0
255,75,140.0,1.98,620214.6518015864,4122394.4023007634,-6470.0
260,85,140.0,1.65,619465.5970545256,4127229.354200972,-4500.0
195,70,30.0,1.65,619465.5970545256,4127229.354200972,-4500.0
245,40,-170.0,1.85,619315.7013452497,4126339.4657597714,-6480.0
75,80,-130.0,2.19,622072.5569441887,4121736.895217159,-5070.0
335,65,-10.0,2.19,622072.5569441887,4121736.895217159,-5070.0
145,90,-40.0,2.2,618214.3178853915,4127932.9126925403,-5440.0
55,80,110.0,2.2,618214.3178853915,4127932.9126925403,-5440.0
65,50,-160.0,2.2,618214.3178853915,4127932.9126925403,-5440.0
215,50,100.0,2.23,627584.7401531895,4111258.0163213057,-2270.0
180,70,30.0,2.23,627584.7401531895,4111258.0163213057,-2270.0
145,90,-50.0,2.29,618379.7027205905,4127731.8040786623,-5780.0
95,70,-170.0,2.28,621986.516679443,4126636.825539263,-2110.0
250,75,130.0,2.28,621986.516679443,4126636.825539263,-2110.0
145,35,-20.0,1.81,621718.56517596,4122693.493951481,-5710.0
185,35,10.0,1.68,622856.5383619533,4116662.2163765063,-3420.0
255,75,160.0,1.68,622856.5383619533,4116662.2163765063,-3420.0
140,65,-20.0,1.63,622183.0334230524,4122274.856057192,-6140.0
140,90,-70.0,1.47,620235.1030237343,4125094.944160717,-6160.0
215,45,100.0,2.14,623942.9106546072,4112220.880780182,-1790.0
110,35,-150.0,1.93,621815.6486447528,4127207.6890351553,-2450.0
190,85,40.0,1.93,621815.6486447528,4127207.6890351553,-2450.0
210,40,90.0,3.05,627810.3775395465,4112001.2423254303,-1920.0
185,70,50.0,1.84,618592.299108652,4140866.2784374063,-4940.0
145,15,-20.0,2.23,619275.8884853781,4127060.1989414645,-7830.0
250,75,140.0,1.7,621892.4823083932,4127005.359783367,-2660.0
185,85,20.0,1.7,621892.4823083932,4127005.359783367,-2660.0
215,50,60.0,1.66,624358.7237438556,4112134.5344398827,-1930.0
325,85,-40.0,1.68,618377.6133661297,4127879.7331079105,-6020.0
210,65,150.0,2.09,624557.2884652365,4081473.6863147416,-5130.0
235,80,150.0,2.66,620525.464904407,4124433.2940797955,-6030.0
140,65,-10.0,2.66,620525.464904407,4124433.2940797955,-6030.0
145,60,0.0,2.76,620541.8388332403,4124322.5598879936,-5870.0
145,90,-60.0,1.51,619467.9463176939,4126027.220776605,-5190.0
135,90,-40.0,2.03,618776.1448498422,4126868.1554252827,-5360.0
170,25,70.0,2.03,618776.1448498422,4126868.1554252827,-5360.0
5,70,0.0,3.2,621970.933434268,4126692.084113463,-2500.0
225,70,100.0,1.69,627244.5353295059,4113194.861649246,-3830.0
255,50,130.0,1.69,627244.5353295059,4113194.861649246,-3830.0
325,70,-30.0,1.69,615151.1505040723,4132550.9105255636,-6760.0
35,85,170.0,1.69,625653.5509872439,4091735.611296677,-5680.0
130,55,10.0,1.69,625653.5509872439,4091735.611296677,-5680.0
235,85,170.0,3.1,622569.9031372245,4121096.814646509,-4810.0
195,85,50.0,1.88,615488.2805031247,4147665.9199989983,-2410.0
335,75,20.0,3.0,619805.4450287796,4126198.4894813886,-8080.0
235,35,110.0,1.81,618595.1672277778,4119800.6164451144,-5970.0
135,55,-20.0,2.15,618757.1780765421,4127163.80396284,-5700.0
145,25,0.0,2.15,618757.1780765421,4127163.80396284,-5700.0
235,35,-180.0,1.75,618259.4220666226,4127878.0645782445,-5170.0
210,45,150.0,1.83,617558.5637226793,4128330.573601219,-2890.0
70,50,-140.0,1.83,617558.5637226793,4128330.573601219,-2890.0
250,75,140.0,1.62,622158.4433082303,4127009.2309121476,-3110.0
230,35,170.0,1.92,620453.6880624631,4124284.304216295,-4400.0
45,85,110.0,1.92,620453.6880624631,4124284.304216295,-4400.0
240,45,150.0,2.18,620173.2119423061,4122190.366186777,-6530.0
260,5,0.0,1.56,594595.2172316245,4155909.479265578,-8590.0
215,30,170.0,1.83,618281.7629626008,4127342.030540853,-2630.0
225,70,150.0,2.65,620178.3714666008,4124927.67723166,-6000.0
140,90,-10.0,2.65,620178.3714666008,4124927.67723166,-6000.0
230,60,-160.0,2.1,616858.6246127181,4129781.8670334592,-5710.0
65,55,-130.0,2.1,616858.6246127181,4129781.8670334592,-5710.0
140,90,-20.0,2.14,620683.104718822,4123751.2484589713,-3930.0
325,85,10.0,3.2,619608.0695629662,4126565.5695554763,-8400.0
145,80,10.0,4.2,619726.543872934,4126548.7655233587,-8710.0
165,75,40.0,2.18,615707.9564651402,4131800.3072566167,-6150.0
55,90,-120.0,1.6,628851.5297916104,4113626.1927650124,-5020.0
145,85,10.0,1.6,628851.5297916104,4113626.1927650124,-5020.0
70,85,-140.0,2.44,626938.2387146201,4114854.8037483855,-3510.0
220,35,160.0,2.03,619019.3806384336,4126390.7391358623,-3890.0
220,80,120.0,1.51,619121.5031467982,4126484.663477539,-5200.0
145,90,30.0,1.85,619260.5869828173,4127096.970993737,-7610.0
315,75,-30.0,1.56,619515.9852589777,4126804.6899420996,-8180.0
145,80,10.0,3.4,618503.1244464887,4127363.6517655067,-5380.0
75,90,-100.0,1.89,629161.4679565538,4113686.427309067,-7400.0
145,70,-50.0,1.89,629161.4679565538,4113686.427309067,-7400.0
325,70,-10.0,2.59,633393.6525170526,4101600.819886289,-3360.0
100,60,-110.0,1.73,620268.106971914,4124854.9836251824,-5630.0
265,50,-140.0,1.73,620268.106971914,4124854.9836251824,-5630.0
245,60,160.0,1.99,633457.6060935681,4101305.902992197,-2580.0
145,65,0.0,2.54,618249.082967553,4127563.5070313574,-5140.0
220,45,170.0,2.07,617234.5906913859,4128252.0560347894,-1450.0
205,40,100.0,3.0,628368.9358652201,4107404.438818641,-3100.0
85,70,-130.0,1.97,621999.85028385,4129781.193466386,-1980.0
235,65,100.0,1.97,621999.85028385,4129781.193466386,-1980.0
240,85,-170.0,1.85,627869.2305344625,4113000.8762036734,-1960.0
90,55,-100.0,1.85,627869.2305344625,4113000.8762036734,-1960.0
325,40,0.0,2.12,619244.1844863122,4126171.994842733,-5090.0
225,35,160.0,2.15,617448.6724229068,4128791.401728624,-5270.0
70,80,-130.0,2.15,617448.6724229068,4128791.401728624,-5270.0
235,40,110.0,1.74,626778.6701375643,4111689.732508761,-2590.0
195,65,20.0,1.74,626778.6701375643,4111689.732508761,-2590.0
150,85,-60.0,1.8,629530.5716392949,4111824.0658188374,-5210.0
